z_phot,log_Mstar,dust
4.2414,8.7011,0.1
4.8852,8.92843,0.1
6.0715,8.4888,0.0
6.2907,8.63767,0.0
7.1927,7.9119,0.0
4.2842,9.38155,0.1
4.5894,8.79554,0.2
4.001,8.27535,0.1
9.9624,8.59327,0.0
9.948,8.82049,0.0
4.4762,8.55149,0.1
4.6839,9.27719,0.0
4.6579,8.56573,0.2
7.4439,10.07898,0.4
4.6415,9.32765,0.2
5.2591,9.01281,0.0
8.2109,9.00183,0.1
4.069,9.28326,0.1
6.2886,9.07344,0.1
4.1901,8.90984,0.1
4.7755,8.40612,0.1
4.7903,8.88829,0.1
4.6874,8.90277,0.1
7.8414,9.24948,0.1
4.4701,8.75753,0.0
4.905,8.09666,0.0
4.3816,8.58812,0.1
4.1155,9.77919,0.2
8.9365,10.78474,0.7
7.2292,9.69411,0.1
4.4009,8.78209,0.1
4.3347,8.69984,0.0
5.3521,8.91288,0.0
4.5671,8.57388,0.1
4.3452,8.83413,0.2
4.2853,8.69867,0.0
4.3035,8.30231,0.1
4.6557,7.98299,0.0
4.471,10.77092,0.6
9.1798,9.80691,0.0
4.8259,9.21603,0.1
4.6429,7.8482,0.1
5.2285,10.2546,0.3
4.3037,8.14431,0.1
4.2617,8.75908,0.1
4.4295,8.77781,0.0
7.3611,7.78494,0.0
4.4129,8.34223,0.1
5.5138,8.38897,0.0
4.6122,8.52323,0.0
4.195,8.70054,0.1
4.895,9.62228,0.1
4.1399,8.99264,0.1
5.4679,8.24036,0.0
6.2278,9.52599,0.0
6.644,8.93579,0.1
4.8702,8.77493,0.1
6.7408,8.7323,0.0
4.4052,8.62438,0.0
4.2281,9.09116,0.1
4.8426,9.76547,0.2
4.349,7.94206,0.0
4.29,9.08459,0.1
4.342,8.74733,0.1
4.5649,9.4299,0.1
5.5514,9.46277,0.0
4.3278,11.00477,1.1
5.8568,8.57244,0.0
4.348,8.59998,0.1
4.8984,8.91233,0.0
4.7856,8.73758,0.1
4.7834,8.62378,0.1
5.6552,9.50091,0.1
6.0284,9.07947,0.1
4.6281,7.64317,0.0
5.3033,9.54835,0.1
5.5786,9.05965,0.1
4.1201,8.23512,0.0
4.5154,6.21833,0.5
4.1815,8.76166,0.1
4.6361,8.2072,0.1
5.5332,8.73234,0.0
4.8705,8.5916,0.1
4.7053,8.24703,0.3
6.0689,9.03142,0.1
5.8515,8.10065,0.0
4.478,8.93523,0.0
6.3017,8.81353,0.0
5.4624,8.43359,0.0
4.0946,9.30124,0.4
4.1089,8.01821,0.0
6.6803,8.39263,0.0
4.3117,7.92341,0.0
4.6233,8.30112,0.1
4.4928,8.5223,0.1
5.7932,8.74603,0.0
4.2701,8.39113,0.1
4.1405,7.81514,0.0
4.7514,8.49008,0.1
4.1438,9.48919,0.1
4.2237,10.15034,0.2
4.5222,9.85421,0.2
5.7041,7.71075,0.0
4.2337,8.81041,0.1
4.3001,8.96654,0.1
4.046,9.03863,0.1
5.2419,8.46862,0.3
4.1562,8.44631,0.0
4.4051,9.0756,0.2
4.4027,9.24046,0.1
4.8869,8.64898,0.3
4.6671,8.16519,0.1
4.6449,7.78289,0.0
4.9162,7.92385,0.0
4.6881,8.15009,0.1
4.6762,8.05423,0.1
4.6357,8.16278,0.1
4.8107,8.14501,0.1
8.4734,9.0498,0.1
4.3676,8.69193,0.2
5.1738,8.81351,0.1
5.2621,10.07789,0.1
4.5994,7.96338,0.2
4.7001,9.54381,0.2
4.7503,8.08285,0.0
7.0088,8.79937,0.1
7.1089,8.68275,0.0
4.7426,9.06298,0.1
4.6817,8.98732,0.1
4.4429,8.4449,0.1
5.2396,8.63538,0.0
5.4961,8.37406,0.0
5.8571,9.34127,0.0
6.1883,8.6857,0.1
4.6104,8.74613,0.1
5.9972,8.96983,0.1
4.5071,10.2,0.0
10.0162,8.1874,0.0
4.689,8.34983,0.1
4.3066,8.41299,0.1
5.5656,8.13476,0.0
4.5657,9.12293,0.1
4.8634,9.71306,0.2
4.6249,8.02912,0.1
6.9749,8.45407,0.1
4.447,8.03036,0.2
7.1208,8.72715,0.2
4.7686,8.56087,0.1
4.3367,9.18944,0.1
4.7201,8.06826,0.1
4.516,8.64988,0.1
4.1876,9.07462,0.1
9.0575,9.81607,0.0
6.6334,8.32866,0.0
7.4647,8.54433,0.0
4.6486,8.52715,0.1
4.5107,9.42901,0.2
4.42,8.75902,0.0
5.1559,9.2143,0.1
4.4801,8.85001,0.3
4.6645,9.1998,0.1
4.6526,9.37611,0.1
4.3008,8.84224,0.1
6.6496,8.9279,0.1
4.0966,8.11711,0.1
6.9005,9.06241,0.1
5.6576,8.77442,0.1
4.6767,8.4165,0.2
4.7707,9.70052,0.2
4.6056,8.16387,0.1
4.9056,8.12829,0.0
4.7031,9.48701,0.1
4.157,8.41131,0.1
4.9606,8.57075,0.0
4.3974,9.30497,0.0
6.2244,8.55681,0.1
4.334,9.48365,0.1
4.8229,9.09003,0.2
4.4875,7.89849,0.0
4.4601,8.03577,0.0
4.4301,8.20765,0.1
4.6519,8.06564,0.2
5.0049,8.14583,0.0
5.4671,8.99783,0.0
4.0905,8.20273,0.1
5.1577,8.38646,0.0
4.5133,8.28614,0.2
4.0774,8.42257,0.1
4.6249,8.55825,0.1
4.2962,9.26696,0.1
4.5351,7.9012,0.0
7.4239,6.29874,0.8
4.5038,8.20742,0.1
4.2984,8.50691,0.0
7.6142,9.36061,0.1
4.3539,9.52634,0.3
4.0074,7.98746,0.0
4.4316,8.32805,0.1
7.6292,8.22557,0.0
4.3928,8.90127,0.0
4.5799,8.73554,0.1
4.6314,8.07815,0.1
4.332,8.01364,0.1
4.3031,8.95693,0.1
4.9015,8.71636,0.0
5.7099,7.79149,0.0
9.286,8.4727,0.0
4.4007,7.84953,0.0
4.1751,9.15241,0.0
6.5727,8.08302,0.0
6.8027,8.80424,0.0
4.6695,8.1357,0.1
4.4136,8.52981,0.1
6.1346,9.67712,0.1
4.4497,8.94109,0.1
4.3414,8.29646,0.1
4.8725,8.37438,0.1
4.6923,7.86455,0.1
4.6529,8.08156,0.1
4.648,7.88802,0.0
4.3568,8.47289,0.2
6.0105,8.51098,0.1
4.6857,8.21767,0.1
5.4803,8.87515,0.0
4.4471,8.49151,0.0
4.2357,8.2662,0.1
5.5134,9.12429,0.0
4.445,7.67451,0.0
4.715,9.37874,0.1
4.5078,10.19277,0.5
4.6728,8.49468,0.1
4.8199,9.03283,0.2
4.4036,8.53912,0.1
4.5422,8.52666,0.1
4.5433,9.04184,0.2
7.304,8.36881,0.0
4.341,8.62647,0.0
5.2828,9.67793,0.1
4.3734,7.89541,0.1
4.5081,9.38584,0.1
4.6344,8.87049,0.1
4.8181,8.50894,0.0
5.2551,8.08036,0.0
4.351,9.00493,0.0
5.4719,8.99105,0.1
6.0823,8.90677,0.1
5.4295,8.8769,0.1
4.0594,9.30658,0.1
7.6031,8.53269,0.0
4.2489,9.09495,0.1
4.7434,8.88291,0.1
4.7243,8.3502,0.0
5.4495,9.14977,0.2
4.5782,8.00653,0.1
8.1904,8.48509,0.1
4.5367,10.7,0.1
6.26,9.35098,0.0
6.0371,9.16201,0.1
4.2749,8.44607,0.1
6.362,9.32251,0.1
4.2674,9.01438,0.0
4.3379,8.48583,0.0
7.3727,8.82896,0.1
4.607,8.23373,0.1
4.6172,8.07579,0.0
4.8585,9.77898,0.2
8.0694,8.86835,0.1
6.2202,8.91393,0.2
6.1703,8.82159,0.1
5.6695,8.83008,0.1
4.7704,8.58789,0.1
5.5128,8.25117,0.0
4.4335,8.6045,0.1
5.0768,8.57761,0.1
4.3411,8.19862,0.1
4.5316,8.20084,0.1
4.429,8.46329,0.0
5.9689,9.00977,0.1
4.9823,8.66219,0.1
4.6802,7.94769,0.1
7.5994,8.65939,0.0
4.0698,8.62822,0.1
4.2496,7.72084,0.1
7.3187,8.52211,0.0
4.2323,8.36035,0.1
4.7254,8.56882,0.2
4.0975,7.44888,0.1
5.4916,9.73954,0.1
4.4199,8.73833,0.0
4.4952,8.61909,0.1
5.7755,8.68404,0.1
4.4207,6.71541,0.1
5.7588,9.36664,0.1
4.6476,7.8892,0.1
4.3734,8.43467,0.1
4.3038,8.32359,0.1
4.6,8.98344,0.2
4.6841,8.43446,0.1
4.5083,9.29002,0.2
4.5216,8.802,0.1
4.7998,9.3662,0.1
4.1976,8.27956,0.0
4.1233,8.70999,0.1
7.1833,9.03638,0.1
4.1966,9.58753,0.2
7.3856,8.36005,0.0
4.8943,8.89463,0.1
6.1523,8.57125,0.1
6.191,8.39496,0.0
7.3614,8.24577,0.0
6.1121,8.77974,0.0
4.1166,9.27191,0.0
6.8411,9.13145,0.0
4.485,7.9164,0.1
4.6727,7.94988,0.1
5.762,9.08124,0.1
5.9043,8.3007,0.0
4.6924,8.18203,0.1
5.5189,8.69531,0.1
4.2433,8.59019,0.1
4.5008,7.90593,0.0
4.5975,8.22701,0.1
6.3534,8.22988,0.0
6.3478,9.11043,0.1
6.2969,8.91966,0.0
5.1092,8.66742,0.1
5.6261,8.72059,0.1
4.6667,8.37274,0.1
6.6521,9.10132,0.0
4.5108,8.95528,0.1
4.7283,8.88315,0.1
4.6702,8.30436,0.1
4.1343,8.4657,0.0
4.7251,8.43478,0.1
4.3398,8.90574,0.1
4.1048,8.284,0.1
4.9754,9.12714,0.1
5.5021,9.24096,0.0
4.2635,9.97159,0.1
5.1969,9.48922,0.1
4.2956,8.0835,0.0
4.5414,8.14905,0.2
7.0743,8.44648,0.0
4.0136,9.93367,0.1
4.7083,7.24862,-999.0
4.4833,8.20335,0.1
4.3797,8.0948,0.1
5.8968,8.28203,0.1
6.6384,8.80882,0.0
4.6179,8.08956,0.1
4.8171,8.01429,0.0
5.8224,9.14923,0.2
5.3163,9.52388,0.1
5.2478,8.32782,0.0
5.8831,8.40738,0.1
4.663,9.07882,0.2
6.3098,8.99022,0.1
6.4778,8.19634,0.0
5.1695,9.53925,0.2
5.3179,9.25301,0.3
4.5402,8.79326,0.3
4.148,9.21061,0.1
5.1702,8.90525,0.1
6.2577,8.54273,0.1
10.0648,8.06854,0.0
4.4067,8.98876,0.3
4.6379,8.70336,0.2
4.6119,8.45554,0.2
5.5317,8.70828,0.2
9.7488,8.39569,0.0
4.27,8.45256,0.1
4.557,8.9782,0.1
4.8321,10.40491,0.2
4.6794,8.75775,0.1
4.3629,8.71378,0.0
4.4004,8.11676,0.1
4.2176,8.77427,0.0
4.7903,8.50378,1.2
6.3808,9.38004,0.0
5.4948,9.91022,0.2
5.7421,10.30469,0.4
4.7097,8.9491,0.1
5.9619,9.01679,0.0
4.2449,9.84142,0.1
4.3723,9.45835,0.4
4.4547,9.63929,0.1
6.4603,9.65949,0.1
4.31,9.15913,0.1
4.721,8.59214,0.1
4.6186,8.33814,0.1
6.2993,8.91278,0.0
4.3833,8.97276,0.1
5.9106,8.18576,0.0
4.5449,8.5537,0.1
