ID,z_phot,z_best,MUV,z_spec,log_Mstar,log_Mhalo,t_cosmic_Gyr,t_stellar_Gyr,age_excess_Gyr,age_ratio,source
2425,8.25,8.25,-18.67041175288331,,7.783445582619573,9.808445582619573,0.6116133099304908,0.16332593710582452,-0.44828737282466624,0.26704117528833105,JADES-GOODS-S
2446,8.46,8.46,-17.521523759072366,,7.229323785559375,9.275323785559376,0.591333397745461,0.08997278142027082,-0.5013606163251902,0.15215237590723657,JADES-GOODS-S
2987,8.02,8.02,-18.444490888552753,,7.685333172062558,9.687333172062559,0.6351856258446907,0.15527054749170247,-0.4799150783529883,0.2444490888552753,JADES-GOODS-S
3075,11.93,11.93,-18.23473427660552,,7.429298781387621,9.82229878138762,0.36968691953098454,0.08261520306885972,-0.2870717164621248,0.22347342766055184,JADES-GOODS-S
3180,8.02,8.02,-18.78867395927276,,7.848820130654561,9.850820130654562,0.6351856258446907,0.17713256140974595,-0.45805306443494476,0.278867395927276,JADES-GOODS-S
3478,9.93,9.93,-17.38284499534447,,7.104651372788624,9.297651372788623,0.47596038051432266,0.06581794301764807,-0.41014243749667456,0.138284499534447,JADES-GOODS-S
4064,8.04,8.04,-18.514749224615386,,7.7179058816923085,9.721905881692308,0.6330763134243875,0.15920281683063456,-0.473873496593753,0.2514749224615386,JADES-GOODS-S
4172,8.77,8.77,-18.63271508066748,,7.744739663317055,9.821739663317054,0.5633718692168881,0.14831976161111288,-0.4150521076057752,0.26327150806674804,JADES-GOODS-S
5936,8.02,8.02,-18.63465300881619,,7.775660179187691,9.777660179187691,0.6351856258446907,0.16734937202885092,-0.4678362538158398,0.263465300881619,JADES-GOODS-S
6173,8.56,8.56,-18.920237592442483,,7.8897128564101795,9.945712856410179,0.5820659031576711,0.1699770731680017,-0.41208882998966945,0.2920237592442483,JADES-GOODS-S
