ID,RA,DEC,F115W_CIRC1,F115W_CIRC4,F444W_CIRC1,F444W_CIRC4,log_Mstar,z_best,phys_id,color_gradient,compactness
2425,53.122674401993216,-27.91040572866081,9.145152,8.902446,13.804515,14.4666,7.783445582619573,8.25,2425,-0.08006725,0.9542335
2446,53.03657405093041,-27.910267789335297,2.6778374,4.867102,6.04755,8.038533,7.229323785559375,8.46,2446,0.3397223,0.7523201
2987,53.09393463234899,-27.908409818624637,7.0155416,13.102439,11.292115,19.80774,7.685333172062558,8.02,2987,0.06807835,0.570086
3180,53.05973118361316,-27.907771579851687,8.865812,17.203054,14.583064,19.669369,7.848820130654561,8.02,3180,0.39486343,0.74140984
4064,53.10033039740074,-27.905377845847315,6.7056656,8.483422,19.861897,28.59079,7.7179058816923085,8.04,4064,-0.14019063,0.69469565
4172,53.03385919840716,-27.905099583852987,3.6028786,5.5049596,9.662001,15.70685,7.744739663317055,8.77,4172,-0.06729386,0.6151457
5936,53.11991389209361,-27.90158199320049,8.831042,10.836467,11.429328,16.590635,7.775660179187691,8.02,5936,-0.18241653,0.6889024
6173,53.09626448693646,-27.90114828058039,7.3226013,7.1642213,33.79256,33.851128,7.8897128564101795,8.56,6173,-0.025621139,0.99826986
6347,53.108999644068135,-27.90084386903427,16.429256,23.392967,89.47912,124.883354,8.64541173196684,8.84,6347,0.021711348,0.71650153
7390,53.12222301187367,-27.899083016146673,5.2417965,10.034818,21.637396,43.7943,8.004467735394522,8.92,7390,-0.060458217,0.49406877
7423,53.09554860144735,-27.89906851914428,2.1578918,1.4425908,10.143813,13.01704,7.484577977011481,8.81,7423,-0.7079936,0.77927184
7699,53.03334466032709,-27.898624178414813,5.768814,7.1040406,37.508102,44.929054,7.863922624540401,8.49,7699,0.0300418,0.83482957
8047,53.04370617744944,-27.898122038067697,0.79001325,1.3332812,3.2277067,5.6839833,7.270712783938325,8.84,8047,-0.046178482,0.56786
8428,53.03078728600104,-27.897384788993936,1.7836679,2.1486292,9.749588,10.656913,7.541621839410621,9.11,8428,0.105505764,0.9148604
9796,53.03769339217319,-27.895403480918436,3.600806,3.1013532,6.19757,6.5532885,7.366880803717185,8.56,9796,-0.22271588,0.94571906
10252,53.0357999026986,-27.89470580891025,4.2514796,4.6137853,9.358403,10.286831,7.50617472359956,8.57,10252,-0.013906455,0.909746
10996,53.054151804658055,-27.893573261951953,3.431166,5.0057025,26.807556,32.726444,7.74019269796511,8.9,10996,0.19345419,0.8191405
12541,53.05994714349043,-27.89157391255119,2.524411,5.004333,3.3885274,6.3042254,7.289598535492748,8.55,12541,0.068913564,0.537501
12702,53.06005786704461,-27.891434016808777,0.02207048,0.12609488,3.5888782,3.7498403,7.2504757212809245,10.78,12702,1.844579,0.95707494
13405,53.10392630657337,-27.89059483550898,56.153576,81.053986,143.17258,225.93906,8.858650660669756,8.21,13405,-0.09683628,0.63367784
15355,53.12559752984132,-27.88852477320671,4.331933,7.2565155,32.133682,58.016655,7.813456954028568,8.75,15355,-0.08136458,0.55386996
17264,53.06668605860772,-27.886591487928666,13.449307,16.139256,22.510235,29.764912,8.033625101024619,8.22,17264,-0.105352506,0.7562675
21468,53.10107679497724,-27.883100813520414,7.950459,9.164294,36.622116,39.263577,8.024270020264366,9.06,21468,0.07865102,0.9327249
22015,53.09753331959809,-27.882692741591804,5.286121,8.326021,12.376716,20.543556,7.803505116869607,8.64,22015,-0.056924455,0.6024622
22980,53.016533611338005,-27.88194581334515,0.28998828,0.20730107,6.321197,7.318609,7.488419524009408,10.66,22980,-0.5235204,0.8637156
25526,53.09941788219127,-27.88038138098339,19.203863,30.265636,65.10281,93.21648,8.385059025556075,8.28,25526,0.1041707,0.69840455
27503,53.075807425556405,-27.879384882961602,29.453676,37.713284,94.74557,121.10038,8.51933268915243,8.27,27503,0.0019206246,0.7823722
28799,53.04792418889154,-27.878726056131388,20.102373,23.982252,29.385456,33.596943,8.204836974477821,8.55,28799,0.046188276,0.8746467
30333,53.05372681063386,-27.877893799038784,18.705006,22.260035,48.196114,61.62492,8.336258293634604,8.51,30333,-0.077940844,0.78208804
30865,53.06447451842088,-27.877626378429202,1.2317523,6.883403,5.446875,5.5098653,7.379927856543091,9.04,30865,1.8557156,0.98856777
32011,53.14005075697869,-27.87691841503088,3.8486712,4.0471697,2.1614406,1.5137265,7.56138043090428,8.57,32011,0.44134122,1.4278938
37142,53.06682866260727,-27.87293833561654,0.17281242,1.1133405,29.849075,36.782974,8.209172776843092,10.71,37142,1.7958428,0.8114916
37458,53.08932142198106,-27.872694861672755,18.254251,21.284594,38.006157,47.5928,8.269562858013867,8.53,37458,-0.07746491,0.79856944
37677,53.15815841352569,-27.872511629795753,53.51543,59.755524,44.145283,43.163013,8.817173986299327,8.54,37677,0.14417903,1.0227572
37925,53.13416940095466,-27.872299946886393,3.8280132,7.4781346,17.819191,25.512842,8.137008599904561,9.21,37925,0.33737245,0.6984401
37968,53.039341205637555,-27.872248745242064,1.1775427,1.8544109,5.5659394,7.528695,7.234907147528351,10.74,37968,0.1651202,0.7392967
40324,53.12084244086806,-27.87019325309058,16.251968,15.5595875,24.034176,34.12288,8.173385555466144,8.42,40324,-0.42781085,0.70434195
41518,53.10124979538108,-27.869250799601136,2.877229,6.1484137,6.3250256,2.4072373,7.486193789865881,8.55,41518,1.87333,2.6275039
42645,53.124971577093376,-27.868354664319387,9.099121,16.15592,70.56205,88.168175,8.22174921294927,8.74,42645,0.38147908,0.80031204
43290,53.01022131321279,-27.86781256560608,8.81688,18.981583,22.591423,41.71849,8.070469529328257,8.33,43290,0.16658121,0.5415206
46349,53.12552818002535,-27.865770265671472,0.71726716,2.4441705,5.855764,12.086271,7.382144050938301,10.6,46349,0.54435444,0.48449713
47586,53.096860585392434,-27.865047893525265,5.148674,6.544193,17.168924,19.209803,7.947251656197592,8.93,47586,0.13845216,0.8937585
48659,53.12785476562602,-27.864410278779715,1.836308,4.5526314,6.865351,5.4362597,7.248042487385916,8.74,48659,1.2391988,1.2628814
50575,53.07037126757187,-27.863077238326493,3.0171082,4.607383,9.6627035,11.820528,7.5508392513006815,8.51,50575,0.24081305,0.81745106
50671,53.08416488630679,-27.863049744455996,3.358539,3.0383015,4.6212063,5.6773863,7.403575358594068,8.59,50671,-0.3322816,0.8139672
51718,53.11377708910441,-27.86237469403661,12.072998,16.510263,27.108946,33.89027,8.015395472926325,8.02,51718,0.09744119,0.7999035
