unique_id,ra,dec,z_spec,z_phot,z_spec_flag,field,MUV,MUV_err,log_Mstar,log_Mh,t_cosmic,gamma_t,t_eff,response_z,n_ml,ml_bias,log_Mstar_true
goods-n-mediumjwst_33,189.13706501353215,62.21327335776786,3.908964351667974,3.8151,A,GN,-18.94706478045336,0.07340798969110907,8.478825912181343,9.978825912181343,1.580374318725018,0.6520332614751764,1.0304566213898834,2126993.5464164447,0.7412911671981244,0.7412911671981244,8.608837086833603
goods-n-mediumjwst_58,189.13101174089405,62.213989428212855,2.4419513717578862,2.50209,A,GN,,,,,2.6777331595392764,,,,,,
goods-n-mediumjwst_95,189.1291983907139,62.215140564454934,3.9086680242771434,4.17264,A,GN,-18.304085715945725,0.0634833026859063,8.22163428637829,9.72163428637829,1.580516721194672,0.6477766682532454,1.0238218557740282,2126929.3479506588,0.7379003409567316,0.7379003409567316,8.353636575361712
goods-n-mediumjwst_110,189.14637872060382,62.21550823489571,4.062786176905345,4.17327,A,GN,-20.05214147112277,0.08657138973557466,8.920856588449107,10.420856588449107,1.5092240345878123,0.6606912237124491,0.9971310742680614,2160061.050210379,0.7481677373554214,0.7481677373554214,9.046857611920002
goods-n-mediumjwst_113,189.12382509524014,62.21549730340388,5.78634546791552,5.99903,A,GN,-18.884536105626967,0.34293186182428137,8.453814442250787,9.953814442250787,0.973468166521028,0.6042778018618482,0.5882452038478104,2500859.0490531335,0.7028548540776787,0.7028548540776787,8.606948793733734
goods-n-mediumjwst_146,189.12750688375738,62.21619294721527,3.3529633185868244,3.22055,A,GN,-18.39618449158037,0.4515056949979641,8.258473796632147,9.758473796632147,1.8905092899068923,0.6648788876589171,1.2569597137821438,2002920.616102799,0.7514840718822863,0.7514840718822863,8.382554016721782
goods-n-mediumjwst_265,189.13843062697867,62.21801838859797,2.973744791145318,2.6651,A,GN,,,,,2.16481352525767,,,,,,
goods-s-mediumhst_490,53.1782973,-27.8157176,2.69270603085576,3.0,A,GS,,,,,2.4134488272223957,,,,,,
goods-n-mediumjwst_519,189.16530890538837,62.22055555468206,1.0146920330395715,0.97216,A,GN,,,,,5.792271334939214,,,,,,
goods-n-mediumhst_604,189.1172020940793,62.221433699750825,4.14684211101447,4.43,A,GN,-18.98226487364366,0.11118679227733708,8.492905949457464,9.992905949457464,1.4725566905023644,0.6456816176414978,0.950802785992377,2177918.659985018,0.7362289582528314,0.7362289582528314,8.625893053812081
goods-n-mediumhst_606,189.10807529554066,62.22205034287017,3.972548032565879,4.11,A,GN,-18.6840751554483,0.549201785118024,8.37363006217932,9.87363006217932,1.5503031483653884,0.648275212618514,1.0050231031297236,2140724.23885299,0.7382978290637591,0.7382978290637591,8.505398470781122
goods-n-mediumhst_607,189.11694726540446,62.22207876358307,5.180957949962182,5.43,A,GN,-19.558546002266212,0.12546619094030476,8.723418400906484,10.223418400906484,1.119759294207466,0.6252577122361379,0.7001381345513126,2386707.113720732,0.7198488912520434,0.7198488912520434,8.866177060840364
goods-n-mediumjwst_619,189.1582453662495,62.22136013287726,9.068151232909187,9.79359,A,GN,-20.000177668784975,0.3432941425267497,8.90007106751399,10.40007106751399,0.5384924283739847,0.5564008388476411,0.2996176388603884,3046113.618407742,0.6633938533351156,0.6633938533351156,9.078299624260294
goods-n-mediumhst_634,189.12741112526726,62.22443424990734,3.9762531212212355,4.37,A,GN,-19.662754881598705,0.04752504680793024,8.765101952639482,10.265101952639482,1.5485801435421849,0.6574398625971374,1.0180983167910294,2141521.626441697,0.7455885384416032,0.7455885384416032,8.892602729433344
goods-n-mediumhst_643,189.11031858472745,62.22544244372944,5.347198838183486,5.43,A,GN,-20.571628902685127,0.12475396081432244,9.12865156107405,10.62865156107405,1.0761182419645738,0.6394589119496341,0.6881334001358195,2418590.1780313877,0.7312550041253673,0.7312550041253673,9.26458271000898
goods-n-mediumhst_666,189.11341360298923,62.22765640268697,4.912313447814812,5.24,A,GN,-18.783285082064786,0.22061139155740506,8.413314032825914,9.913314032825914,1.1967941724225342,0.6240988139330947,0.7469178235309433,2334263.9254176314,0.7189146770331919,0.7189146770331919,8.55663668276639
goods-n-mediumhst_721,189.1153167970779,62.23409874869081,5.178385538925508,4.76,A,GN,-19.154390525159084,0.09775234437850777,8.561756210063633,10.061756210063633,1.1204575932059984,0.6208198573947269,0.6956023232309868,2386210.408298847,0.716268611470764,0.716268611470764,8.706680290265792
goods-n-mediumjwst_721,189.15375902990397,62.22232321376374,2.942299163415983,7.81095,A,GN,,,,,2.1904894024321235,,,,,,
goods-n-mediumhst_755,189.09925933788136,62.23824910408436,3.4771791784875727,3.54,A,GN,-19.675794532892834,0.1224757815410733,8.770317813157133,10.270317813157133,1.812941639062102,0.6719471373602302,1.218200944568943,2031297.2039793062,0.7570674526192234,0.7570674526192234,8.891183237494234
goods-n-mediumhst_758,189.11960463564822,62.23854979291465,5.274191433671956,5.43,A,GN,-19.584357959448194,0.06396294495881705,8.733743183779277,10.233743183779277,1.094929814772752,0.6233850910021417,0.6825629222230701,2404640.2694108062,0.7183390698395152,0.7183390698395152,8.877413695803071
goods-n-mediumhst_761,189.18089237348963,62.23887679829965,5.542480696296876,5.76,A,GN,-18.913964256050214,0.253838570932329,8.465585702420086,9.965585702420086,1.0283527894619624,0.610070734644607,0.6273679417408903,2455514.245470223,0.7075646616571524,0.7075646616571524,8.615819567880733
goods-n-mediumhst_772,189.09526435376006,62.239703472075476,3.8477016466337277,3.96,A,GN,-19.6806491885697,0.019358156942574922,8.772259675427879,10.272259675427879,1.610273271317827,0.6612610750330015,1.0648110344885342,2113679.6913292333,0.7486193892825883,0.7486193892825883,8.897998604253287
goods-n-mediumhst_777,189.10602065380908,62.240137799093375,4.167547429668142,4.06,A,GN,-18.786422478182192,0.14068996047044813,8.414568991272876,9.914568991272876,1.463750787937098,0.6435743454786035,0.9420324552904079,2182295.055940456,0.7345461834531204,0.7345461834531204,8.548549884695547
goods-n-mediumhst_795,189.19179253194673,62.24204531469492,4.7702471180249875,4.59,A,GN,-18.636000874194742,0.3061202662456086,8.354400349677896,9.854400349677896,1.2411627737572903,0.6265957902465563,0.7777073690470572,2306048.5129267834,0.7209269004142754,0.7209269004142754,8.496509118739551
goods-n-mediumhst_804,189.1339233846043,62.24242813778653,3.66114926089155,3.96,A,GN,-20.352186037574793,0.13406540349001794,9.040874415029917,10.540874415029917,1.7073438257996743,0.6771436713746596,1.1561170665008487,2072610.7108759359,0.7611610853543572,0.7611610853543572,9.15939783831546
goods-n-mediumhst_834,189.0970107901933,62.24698088940611,4.911528043923953,4.82,A,GN,-18.5331753964445,0.11263703000972924,8.313270158577799,9.813270158577799,1.1970321930617343,0.6223468695400196,0.7449692380905947,2334108.8760553384,0.7175014061725822,0.7175014061725822,8.457447402032543
goods-n-mediumhst_853,189.11636954392034,62.249101775923364,3.471392816421119,3.49,A,GN,-18.900998205735313,0.147059293590436,8.460399282294125,9.960399282294125,1.8164373367544107,0.6645200477055179,1.2070590256741247,2029984.1427000614,0.7512001419137035,0.7512001419137035,8.5846436209909
goods-n-mediumhst_873,189.1168361021397,62.25074486540323,3.470971018897471,3.54,A,GN,-17.531542328086758,1.5281080257517914,7.9126169312347026,9.412616931234702,1.8166925920721744,0.6575165550844896,1.194505454786808,2029888.393733978,0.7456494200972702,0.7456494200972702,8.040082246797219
goods-n-mediumhst_896,189.08265193081894,62.25247723160351,6.757950922333795,6.84,A,GN,-20.31054278655394,0.07988524140059283,9.024217114621575,10.524217114621575,0.7964668985899609,0.6038128524438258,0.4809169499146916,2673897.449421504,0.7024762520863093,0.7024762520863093,9.177585467556487
goods-n-mediumhst_901,189.07140595422632,62.25326502569788,4.831512756773688,5.12,A,GN,-19.671112010156122,0.09334675811924065,8.768444804062447,10.268444804062447,1.2216995709370633,0.6351846253148344,0.7760047842129525,2318258.4318066505,0.7278300530320762,0.7278300530320762,8.90641481986839
goods-n-mediumhst_902,189.19327630338626,62.25372707084826,4.060080339425745,4.064,A,GN,-20.21856600721356,0.06863200238398193,8.987426402885424,10.487426402885424,1.5104294793435444,0.6636329056678829,1.002370704183184,2159483.744049667,0.7504979985708405,0.7504979985708405,9.11207686448175
goods-n-mediumhst_903,189.09179031231884,62.25374072532921,5.77137237242172,5.43,A,GN,-19.430923992503594,0.06566248732520563,8.672369597001437,10.172369597001437,0.9766965964178702,0.6101194604457445,0.5959016004256661,2498098.632645208,0.7076042199706504,0.7076042199706504,8.822579182734776
goods-n-mediumhst_910,189.11344298847482,62.25480338430457,4.414323949566036,4.43,A,GN,-19.153479534752684,0.07196779305193957,8.561391813901073,10.061391813901073,1.365172704364778,0.6400055633288856,0.8737181256981978,2233795.19023568,0.7316925353201255,0.7316925353201255,8.697063189489267
goods-n-mediumhst_917,189.08014356130892,62.2553986093555,4.398619737345457,4.48,A,GN,-18.9179903724463,0.1542400710090721,8.46719614897852,9.96719614897852,1.3711142253369546,0.638358616502852,0.875262579953478,2230553.2833666117,0.7303740045014112,0.7303740045014112,8.60365084160247
goods-n-mediumhst_920,189.09814456124133,62.255552441430716,4.883755323893823,4.894,A,GN,-20.337897925027875,0.023194879349397013,9.035159170011148,10.535159170011148,1.2054996507851896,0.6450130695937483,0.7775630301471468,2328619.528068196,0.73569526389131,0.73569526389131,9.168461209771953
goods-n-mediumhst_926,189.0798188542672,62.25646070822843,6.755458344454361,6.77,A,GN,-19.96322066091257,0.059293936826918525,8.885288264365027,10.385288264365027,0.7968510311381047,0.5971250356718116,0.47581970039346067,2673467.862206153,0.6970207325375818,0.6970207325375818,9.042042568199935
goods-n-mediumhst_930,189.20666769481045,62.25677341468013,4.060768270408033,3.96,A,GN,-19.785260780742462,0.11845029665707685,8.814104312296983,10.314104312296983,1.510122856319745,0.6567368440307227,0.9917533187580899,2159630.5327550923,0.7450303540195379,0.7450303540195379,8.94193034516662
goods-n-mediumhst_940,189.14179017654314,62.25841279000412,4.938518456296272,4.7,A,GN,-19.10325396018581,0.21151968024942214,8.541301584074324,10.041301584074324,1.1888974249554596,0.6261622648412988,0.7444427042740986,2339431.257661281,0.7205777107071081,0.7205777107071081,8.683620759907845
goods-n-mediumhst_943,189.2014827088781,62.258632890799674,3.6407224476549747,3.77,A,GN,-19.209728380476488,0.10652482714739087,8.583891352190594,10.083891352190594,1.7185602677667147,0.6620676361515876,1.1378031340643482,2068064.2658676796,0.7492584527788447,0.7492584527788447,8.709259701040711
goods-n-mediumhst_944,189.13702475518164,62.2587201248694,3.663948819695146,3.77,A,GN,-18.42759730203832,0.23465495552815874,8.271038920815327,9.771038920815327,1.7058160215261218,0.6555988703796086,1.1183310567879636,2073233.0385730993,0.7441264427896522,0.7441264427896522,8.399392183199442
goods-n-mediumhst_946,189.08587230943465,62.259044500525704,4.695151241865293,4.7,A,GN,-19.800711149115976,0.06368340606689671,8.82028445964639,10.32028445964639,1.265731097839139,0.6403744728489825,0.8105418845473026,2290993.5365476385,0.7319877413578374,0.7319877413578374,8.955780651682568
goods-n-mediumhst_950,189.1576571698639,62.25929981444334,3.662571145079996,3.68,A,GN,-18.466809544568815,0.22370995371155367,8.286723817827525,9.786723817827525,1.7065675774164746,0.6558675242863587,1.119282252027512,2072926.8118546116,0.7443398814322916,0.7443398814322916,8.414952528888106
goods-n-mediumhst_954,189.1519656570194,62.25963521216192,6.758886643410266,6.54,A,GN,-20.005047327315,0.09621594977251391,8.902018930926,10.402018930926,0.796322773549712,0.5977906685152617,0.47603432315420974,2674058.6999104754,0.6975645342983419,0.6975645342983419,9.058434538918448
goods-n-mediumhst_956,189.10636573906254,62.25971420687521,5.421961585086162,5.69,A,GN,-19.43185105249912,0.14617968343329757,8.672740420999647,10.172740420999647,1.0574042255480318,0.6180623446266268,0.6535417348603191,2432792.5922312834,0.7140400957277455,0.7140400957277455,8.819017821458221
goods-n-mediumhst_964,189.13723537049177,62.2606362510657,5.600195965306563,5.43,A,GN,-19.406349967014016,0.1273749843731551,8.662539986805605,10.162539986805605,1.0149065549297425,0.6136776585451034,0.6228254782713617,2466321.268940145,0.7104904076788905,0.7104904076788905,8.810981767906295
goods-n-mediumhst_967,189.12197992479508,62.26130830012754,5.323370435082971,5.49,A,GN,-19.231150606133248,0.32386988716921117,8.5924602424533,10.0924602424533,1.0821986497402276,0.6181502909938177,0.6689614102500383,2414046.02130375,0.7141112165861999,0.7141112165861999,8.7386943878364
goods-n-mediumhst_971,189.13093210899672,62.26199976388494,4.420733364408923,5.0,A,GN,-19.349656778048832,0.12798155626232166,8.639862711219532,10.139862711219532,1.3627600323105546,0.6418052864580629,0.8746265929106746,2235116.969789112,0.7331322141198362,0.7331322141198362,8.774680408222643
