id,ra,dec,F115W,F115W_err,F150W,F150W_err,F200W,F200W_err,F277W,F277W_err,F356W,F356W_err,F444W,F444W_err,z_phot,z_l95,z_u95,z_best,P_z_gt_7,MUV,beta,beta_err,log_Mhalo,gamma_t,redder_beta
32344,53.04010238842219,-27.876677180753774,-0.20648612,-0.0697817,3.959908,1.0439401,2.9664924,0.6664112,2.8771315,1.2462285,1.5127695,0.9509935,1.0888749,0.5186644,9.92,8.93,11.109,9.92,1.0,-17.605310078474286,-2.093159683699709,1.486155320280736,13.042124031389715,14.000773220956697,-2.093159683699709
37925,53.13416940095466,-27.872299946886393,4.6784163,3.3810048,24.999601,11.534281,28.886421,13.820088,22.119385,9.015222,25.003946,8.432971,27.310858,18.265055,9.21,8.755,10.959,9.21,1.0,-19.495597052430657,-2.8129714414474583,1.9142629638663804,13.798238820972262,14206.393110751424,-2.8129714414474583
37968,53.039341205637555,-27.872248745242064,1.4456604,0.8956741,3.971537,2.1814432,4.3256636,1.8497657,3.285274,1.4508944,2.7972052,2.0867143,6.672169,4.407956,10.74,7.96,11.633,10.74,1.0,-17.725278205322844,-2.837941422252473,1.8723649831044966,13.090111282129138,20.055922005888757,-2.837941422252473
55320,53.123349240214935,-27.86036538358368,1.1886808,1.2890728,9.122906,4.130423,10.716647,4.453294,10.971176,3.3368664,8.742648,7.1718283,13.523028,7.1355963,10.6,8.641,12.104,10.6,1.0,-18.609005572609526,-1.92850595659879,1.5684658292430278,13.44360222904381,277.033464023683,-1.92850595659879
69282,53.07275702347448,-27.852097109735706,-0.47881776,-0.7683082,5.24543,2.7297108,4.9653482,2.233132,4.1902337,1.8661191,5.0617247,1.6898214,6.3479733,2.0375838,10.29,8.648,11.822,10.29,1.0,-17.964549518890173,-2.5169509795495166,1.9277777898281447,13.185819807556069,33.55965639468314,-2.5169509795495166
87674,53.16951568569152,-27.832045169797727,3.6970856,1.1650616,12.310593,4.3919,7.9620104,3.1129792,7.3821425,2.7546442,7.2106504,5.179529,13.407358,7.627633,9.02,8.166,10.482,9.02,1.0,-18.695288709695486,-2.230314665629217,1.6461459397326885,13.478115483878195,256.28898414524673,-2.230314665629217
87722,53.069394162758876,-27.831954955402797,9.009022,1.938754,19.708166,7.8052354,16.386536,7.4350834,13.329311,6.2316556,17.597134,7.522479,21.480637,7.500015,9.08,7.688,9.472,9.08,1.0,-19.216131117090832,-2.628937031288435,1.9843033077010275,13.686452446836332,2700.409607007024,-2.628937031288435
88357,53.132601301516196,-27.83101431283249,-1.1306727,2.0644398,12.935459,5.3250494,9.263534,4.2584314,11.779299,3.9882047,5.359585,2.0653594,12.89601,7.7657075,9.91,9.331,10.303,9.91,1.0,-18.889060956828438,-1.26822660397634,1.7389174419033877,13.555624382731375,737.2682787503911,-1.26822660397634
93282,53.170156694529666,-27.8245382194375,0.5733243,0.31763992,4.613933,1.5502063,3.9619367,1.9467865,3.713225,1.3272972,2.849043,1.713674,6.011937,2.733457,9.29,8.475,11.792,9.29,1.0,-17.673849749563182,-2.1974647603941806,1.8507180106551278,13.069539899825273,14.877286079737498,-2.1974647603941806
94193,53.14527890529581,-27.8235967466571,-2.1613119,-0.39955732,9.315656,4.644353,15.643016,7.6443634,13.645414,5.9604654,13.937089,5.1642537,12.768045,4.27579,11.19,9.377,12.11,11.19,1.0,-18.710793170091065,-2.1975980178949612,1.0494549107343163,13.484317268036426,484.3151369263147,-2.1975980178949612
