object_id,z,log_Mstar_obs,log_Mdyn,sigma_kms,re_kpc,source_survey,source_paper,is_upper_limit_mdyn,sigma_type,ml_response_sigma_only,gamma_t_sigma_only
SUSPENSE-127108,1.335,10.24,11.0,210.0,1.51,SUSPENSE,Slob et al. 2025,False,absorption,1.0267939582952323,1.0267939582952323
SUSPENSE-127154,1.205,10.75,11.2,242.0,2.06,SUSPENSE,Slob et al. 2025,False,absorption,1.2884438902281046,1.2884438902281046
SUSPENSE-127700,2.013,10.92,11.1,241.0,1.49,SUSPENSE,Slob et al. 2025,False,absorption,1.12326389069242,1.12326389069242
SUSPENSE-127941,2.141,10.8,11.4,259.0,1.84,SUSPENSE,Slob et al. 2025,False,absorption,1.2503045290424408,1.2503045290424408
SUSPENSE-128036,2.196,10.92,11.0,210.0,1.02,SUSPENSE,Slob et al. 2025,False,absorption,0.9279901418203593,0.9279901418203593
SUSPENSE-128041,1.76,10.71,11.3,226.0,1.5,SUSPENSE,Slob et al. 2025,False,absorption,1.0598581282839417,1.0598581282839417
SUSPENSE-128452,1.205,10.99,11.3,275.0,1.59,SUSPENSE,Slob et al. 2025,False,absorption,1.728970527518122,1.728970527518122
SUSPENSE-128913,2.285,10.91,11.1,180.0,2.32,SUSPENSE,Slob et al. 2025,False,absorption,0.8210157796713656,0.8210157796713656
SUSPENSE-129133,2.139,11.09,11.1,257.0,1.04,SUSPENSE,Slob et al. 2025,False,absorption,1.232255867038497,1.232255867038497
SUSPENSE-129149,1.579,11.02,11.4,387.0,1.01,SUSPENSE,Slob et al. 2025,False,absorption,8.358356969566453,8.358356969566453
SUSPENSE-129197,1.474,10.52,10.9,197.0,1.2,SUSPENSE,Slob et al. 2025,False,absorption,0.9468056211930858,0.9468056211930858
SUSPENSE-129982,1.249,11.22,11.9,213.0,6.48,SUSPENSE,Slob et al. 2025,False,absorption,1.0566167793962842,1.0566167793962842
SUSPENSE-130040,1.17,11.21,11.8,285.0,5.15,SUSPENSE,Slob et al. 2025,False,absorption,1.944022588656122,1.944022588656122
SUSPENSE-130208,1.231,10.95,11.5,291.0,2.41,SUSPENSE,Slob et al. 2025,False,absorption,2.0454510612806747,2.0454510612806747
SUSPENSE-130647,1.508,11.48,11.9,371.0,4.15,SUSPENSE,Slob et al. 2025,False,absorption,6.273180947179224,6.273180947179224
ZF-COS-20115,3.715,11.060698,10.857332,283.0,0.66,Literature,Esdaile et al. 2021,False,absorption,1.2201257862045018,1.2201257862045018
3D-EGS-40032,3.219,11.307496,11.4133,275.0,2.4,Literature,Esdaile et al. 2021,False,absorption,1.2185512228911575,1.2185512228911575
3D-EGS-18996,3.239,10.991226,10.556303,196.0,0.63,Literature,Esdaile et al. 2021,False,absorption,0.8038080282019309,0.8038080282019309
3D-EGS-31322,3.434,10.991226,10.851258,301.0,0.61,Literature,Esdaile et al. 2021,False,absorption,1.4655248540793246,1.4655248540793246
SXDS-27434,4.01,11.060698,11.079181,268.0,1.3,Literature,Tanaka et al. 2019,True,absorption,1.0657253851584716,1.0657253851584716
JADES-NS-00016745,5.56616,8.8,10.23,55.0,,de_graaff_2024,de Graaff et al. 2024,False,emission,0.5971562096949108,0.5971562096949108
JADES-NS-00019606,5.88979,7.54,9.17,39.1,,de_graaff_2024,de Graaff et al. 2024,False,emission,0.5887438460998681,0.5887438460998681
JADES-NS-00022251,5.79912,8.21,9.23,39.0,,de_graaff_2024,de Graaff et al. 2024,False,emission,0.5908085212942823,0.5908085212942823
JADES-NS-00047100,7.43173,8.53,9.85,71.0,,de_graaff_2024,de Graaff et al. 2024,False,emission,0.5587238137012391,0.5587238137012391
JADES-NS-10016374,5.50411,7.86,9.45,62.0,,de_graaff_2024,de Graaff et al. 2024,False,emission,0.5993080584878517,0.5993080584878517
JADES-NS-20086025,7.2627,8.85,10.31,25.0,,de_graaff_2024,de Graaff et al. 2024,False,emission,0.5594561324574533,0.5594561324574533
